! OpenFAST Deterministic Wind File
#
# Comment lines begin with "!" or "#" or "%", then the data lines must contain the following columns:
#
# If there are only 8 columns, upflow is assumed to be 0.
#
# Parameters are interpolated linearly between time steps; using nearest neighbor before the first time
# listed in this file and after the last time listed in the file.
#
! Time     Wind    Wind    Vertical    Horiz.      Pwr.Law     Lin.Vert.   Gust     Upflow
!          Speed   Dir     Speed       Shear       Vert.Shr    Shear       Speed    Angle
! (sec)    (m/s)   (Deg)   (m/s)                                            (m/s)   (deg)
0.0 4.61 0.0 0 0.0 0.3 0.0 0.0
10.0 5.4 0.0 0 0.0 0.3 0.0 0.0
20.0 5.08 0.0 0 0.0 0.3 0.0 0.0
30.0 4.58 0.0 0 0.0 0.3 0.0 0.0
40.0 4.5 0.0 0 0.0 0.3 0.0 0.0
50.0 4.77 0.0 0 0.0 0.3 0.0 0.0
60.0 4.75 0.0 0 0.0 0.3 0.0 0.0
70.0 4.57 0.0 0 0.0 0.3 0.0 0.0
80.0 4.19 0.0 0 0.0 0.3 0.0 0.0
90.0 4.39 0.0 0 0.0 0.3 0.0 0.0
100.0 4.34 0.0 0 0.0 0.3 0.0 0.0
110.0 5.04 0.0 0 0.0 0.3 0.0 0.0
120.0 4.16 0.0 0 0.0 0.3 0.0 0.0
130.0 4.36 0.0 0 0.0 0.3 0.0 0.0
140.0 4.16 0.0 0 0.0 0.3 0.0 0.0
150.0 5.07 0.0 0 0.0 0.3 0.0 0.0
160.0 4.35 0.0 0 0.0 0.3 0.0 0.0
170.0 5.76 0.0 0 0.0 0.3 0.0 0.0
180.0 5.52 0.0 0 0.0 0.3 0.0 0.0
190.0 4.88 0.0 0 0.0 0.3 0.0 0.0
200.0 5.71 0.0 0 0.0 0.3 0.0 0.0
210.0 6.67 0.0 0 0.0 0.3 0.0 0.0
220.0 6.13 0.0 0 0.0 0.3 0.0 0.0
230.0 7.13 0.0 0 0.0 0.3 0.0 0.0
240.0 7.27 0.0 0 0.0 0.3 0.0 0.0
250.0 8.01 0.0 0 0.0 0.3 0.0 0.0
260.0 8.16 0.0 0 0.0 0.3 0.0 0.0
270.0 9.07 0.0 0 0.0 0.3 0.0 0.0
280.0 10.89 0.0 0 0.0 0.3 0.0 0.0
290.0 11.41 0.0 0 0.0 0.3 0.0 0.0
300.0 11.61 0.0 0 0.0 0.3 0.0 0.0
310.0 12.47 0.0 0 0.0 0.3 0.0 0.0
320.0 12.3 0.0 0 0.0 0.3 0.0 0.0
330.0 12.3 0.0 0 0.0 0.3 0.0 0.0
340.0 12.72 0.0 0 0.0 0.3 0.0 0.0
350.0 13.58 0.0 0 0.0 0.3 0.0 0.0
360.0 13.89 0.0 0 0.0 0.3 0.0 0.0
370.0 13.69 0.0 0 0.0 0.3 0.0 0.0
380.0 13.2 0.0 0 0.0 0.3 0.0 0.0
390.0 10.6 0.0 0 0.0 0.3 0.0 0.0
400.0 9.48 0.0 0 0.0 0.3 0.0 0.0
410.0 8.55 0.0 0 0.0 0.3 0.0 0.0
420.0 4.96 0.0 0 0.0 0.3 0.0 0.0
430.0 3.17 0.0 0 0.0 0.3 0.0 0.0
440.0 3.92 0.0 0 0.0 0.3 0.0 0.0
450.0 4.32 0.0 0 0.0 0.3 0.0 0.0
272790.0 4.86 0.0 0 0.0 0.3 0.0 0.0
272800.0 5.33 0.0 0 0.0 0.3 0.0 0.0
272810.0 5.98 0.0 0 0.0 0.3 0.0 0.0
272820.0 5.41 0.0 0 0.0 0.3 0.0 0.0
272830.0 5.8 0.0 0 0.0 0.3 0.0 0.0
272840.0 5.41 0.0 0 0.0 0.3 0.0 0.0
272850.0 5.59 0.0 0 0.0 0.3 0.0 0.0
272860.0 5.7 0.0 0 0.0 0.3 0.0 0.0
272870.0 5.59 0.0 0 0.0 0.3 0.0 0.0
272880.0 6.59 0.0 0 0.0 0.3 0.0 0.0
272890.0 6.31 0.0 0 0.0 0.3 0.0 0.0
272900.0 5.7 0.0 0 0.0 0.3 0.0 0.0
272910.0 5.77 0.0 0 0.0 0.3 0.0 0.0
272920.0 5.38 0.0 0 0.0 0.3 0.0 0.0
272930.0 5.42 0.0 0 0.0 0.3 0.0 0.0
272940.0 5.81 0.0 0 0.0 0.3 0.0 0.0
272950.0 5.36 0.0 0 0.0 0.3 0.0 0.0
272960.0 5.56 0.0 0 0.0 0.3 0.0 0.0
272970.0 6.56 0.0 0 0.0 0.3 0.0 0.0
272980.0 5.26 0.0 0 0.0 0.3 0.0 0.0
272990.0 5.65 0.0 0 0.0 0.3 0.0 0.0
273000.0 6.04 0.0 0 0.0 0.3 0.0 0.0
273010.0 5.99 0.0 0 0.0 0.3 0.0 0.0
273020.0 6.87 0.0 0 0.0 0.3 0.0 0.0
273030.0 7.05 0.0 0 0.0 0.3 0.0 0.0
273040.0 6.9 0.0 0 0.0 0.3 0.0 0.0
273050.0 6.23 0.0 0 0.0 0.3 0.0 0.0
273060.0 6.33 0.0 0 0.0 0.3 0.0 0.0
273070.0 6.34 0.0 0 0.0 0.3 0.0 0.0
273080.0 6.32 0.0 0 0.0 0.3 0.0 0.0
273090.0 6.69 0.0 0 0.0 0.3 0.0 0.0
273100.0 6.32 0.0 0 0.0 0.3 0.0 0.0
273110.0 6.63 0.0 0 0.0 0.3 0.0 0.0
273120.0 6.3 0.0 0 0.0 0.3 0.0 0.0
273130.0 5.12 0.0 0 0.0 0.3 0.0 0.0
273140.0 5.1 0.0 0 0.0 0.3 0.0 0.0
273150.0 5.25 0.0 0 0.0 0.3 0.0 0.0
273160.0 4.64 0.0 0 0.0 0.3 0.0 0.0
273170.0 4.32 0.0 0 0.0 0.3 0.0 0.0
273930.0 4.55 0.0 0 0.0 0.3 0.0 0.0
273940.0 5.01 0.0 0 0.0 0.3 0.0 0.0
273950.0 4.75 0.0 0 0.0 0.3 0.0 0.0
273960.0 4.24 0.0 0 0.0 0.3 0.0 0.0
273970.0 4.53 0.0 0 0.0 0.3 0.0 0.0
273980.0 5.64 0.0 0 0.0 0.3 0.0 0.0
273990.0 6.15 0.0 0 0.0 0.3 0.0 0.0
274000.0 6.31 0.0 0 0.0 0.3 0.0 0.0
274010.0 6.17 0.0 0 0.0 0.3 0.0 0.0
274020.0 5.99 0.0 0 0.0 0.3 0.0 0.0
274030.0 6.17 0.0 0 0.0 0.3 0.0 0.0
274040.0 6.71 0.0 0 0.0 0.3 0.0 0.0
274050.0 6.03 0.0 0 0.0 0.3 0.0 0.0
274060.0 5.58 0.0 0 0.0 0.3 0.0 0.0
274070.0 5.19 0.0 0 0.0 0.3 0.0 0.0
274080.0 5.68 0.0 0 0.0 0.3 0.0 0.0
274090.0 6.47 0.0 0 0.0 0.3 0.0 0.0
274100.0 6.18 0.0 0 0.0 0.3 0.0 0.0
274110.0 5.66 0.0 0 0.0 0.3 0.0 0.0
274120.0 5.29 0.0 0 0.0 0.3 0.0 0.0
274130.0 5.52 0.0 0 0.0 0.3 0.0 0.0
274140.0 6.04 0.0 0 0.0 0.3 0.0 0.0
274150.0 5.89 0.0 0 0.0 0.3 0.0 0.0
274160.0 5.4 0.0 0 0.0 0.3 0.0 0.0
274170.0 3.86 0.0 0 0.0 0.3 0.0 0.0
274180.0 4.15 0.0 0 0.0 0.3 0.0 0.0
274190.0 5.19 0.0 0 0.0 0.3 0.0 0.0
274200.0 4.88 0.0 0 0.0 0.3 0.0 0.0
274210.0 4.91 0.0 0 0.0 0.3 0.0 0.0
274220.0 4.44 0.0 0 0.0 0.3 0.0 0.0
274230.0 4.83 0.0 0 0.0 0.3 0.0 0.0
274240.0 4.94 0.0 0 0.0 0.3 0.0 0.0
274250.0 4.75 0.0 0 0.0 0.3 0.0 0.0
